업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
중앙아구찜&탕,3일 전,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",맛있게 잘 먹었어요~~~
중앙아구찜&탕,5일 전,5,5,5,"
            황제해물찜/1(맛 선택(보통맛),사이즈 선택(中)),식혜 1.5L/1,공기밥/3
          ","양이 짱 많아요!!
3명이서 중자 반도 못먹었어요"
중앙아구찜&탕,2022년 3월 17일,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(매운맛))
          ",맛있게 잘 먹었어요 푸짐해요
중앙아구찜&탕,2022년 3월 15일,5,5,5,"
            살만있는 아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",배달 빠르고 맛있었습니다
중앙아구찜&탕,2022년 3월 6일,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",잘먹었습니다  번창하세요
중앙아구찜&탕,2022년 2월 27일,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","맛있게 먹을게요~^^
대박나세요~~"
중앙아구찜&탕,2022년 2월 22일,3,3,4,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(공기밥 2개))
          ",보통맛 밍밍하고 맛없어요...ㅠㅠ
중앙아구찜&탕,2022년 2월 15일,2,5,4,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","여기꺼만 먹고나면 속이 미식거려요ㅜㅜ왠만하면 별 다주는데 해물 상태가 영 별로입니다..
전엔 아구찜, 이번엔 해물찜이었어요"
중앙아구찜&탕,2022년 2월 13일,2,4,3,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛)),카스 맥주/3
          ","해물찜인데 마감시간에 주문해서 그런지
콩나물 탕을 시켰나봐요
새우3개랑 전복두개 절단 오징어 몇개
오만둥이만 몇개 ㅋㅋㅋㅋㅋㅋ
콩나물국 진짜 양만 많네요"
중앙아구찜&탕,2022년 2월 6일,4,4,4,"
            황제해물찜/1(맛 선택(보통맛),사이즈 선택(中))
          ",콩나물이많아서좋앗어요 ㅎㅎㅎ
중앙아구찜&탕,2022년 2월 5일,5,5,5,"
            알찜/1(사이즈 선택(中),맛 선택(보통맛))
          ","찜이 먹고파서 주문
이쪽동네서 첨 주문인데 맛있네요
알찜이라 알그득 고니는 몇개안되서
고니좋아하는 사람은 필수로 추가해얄듯요"
중앙아구찜&탕,2022년 2월 4일,4,5,4,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",다음에는 해물찜으로 먹어보겠습니등
중앙아구찜&탕,2022년 2월 3일,5,5,5,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",3명이 먹고 남은 양ㅎㅎ맛도 양도 대박입니다.
중앙아구찜&탕,2022년 2월 1일,5,5,5,"
            알찜/1(사이즈 선택(中),맛 선택(보통맛)),셀프 날치알 주먹밥/1
          ",맛있게 잘 먹었습니다.
중앙아구찜&탕,2022년 1월 25일,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(콩나물 추가))
          ",깜빡하고 사진을 못 찍었어요 ..ㅠㅠ 근데 너무 맛있었음. 콩나물 추가했는데 진짜 많이주셔서 감사해요!
중앙아구찜&탕,2022년 1월 22일,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",오랜맛에 먹었어요~맛있어요
중앙아구찜&탕,2022년 1월 20일,5,5,5,"
            고니찜/1(추가 선택(알 추가),사이즈 선택(小))
          ",맛있었습니다 다음에도 잘부탁드립니다ㅡ
중앙아구찜&탕,2022년 1월 16일,3,2,5,"
            아구찜/1(사이즈 선택(小),맛 선택(매운맛))
          ",양 진짜 적어졌네요 *에서 자주 시켜먹고 요기요는 처음인데 같은 곳 맞나 싶어요
중앙아구찜&탕,2022년 1월 15일,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(매운맛))
          ","너무 급하게 먹느라 사진이 없네요 ㅠㅠ
처음 시켜먹었는데 양도 완전많고 정말맛있어요~~"
중앙아구찜&탕,2022년 1월 15일,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛)),처음처럼/1
          ","#ㅎㄴㅅㅇ
힘내세요^^~
화이팅입니다 
어려운시기죠
다함께 이겨내십시다
맛있게 해주셔서 감사히 잘먹었읍니다
대박나시고 또주문하겠읍니다
행복한 주말되세요^^~♡♡♡"
중앙아구찜&탕,2022년 1월 14일,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ","저번에 너무 매워서 이번엔 안맵게 부탁드렸더니
아이들이랑 먹기 정말 딱 좋네요~~~ 맛있게 잘 먹었습니다.^^"
중앙아구찜&탕,2022년 1월 13일,5,5,5,"
            고니찜/1(사이즈 선택(小))
          ",맛있어요 반찬이 맛있어서 더 먹고 싶은데 추가메뉴 있었으면 좋겠어요
중앙아구찜&탕,2022년 1월 12일,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(매운맛))
          ","매운맛 주문했는데 진짜 맛있게 먹었어요^^
맛있게 매워서 매운데도 계속 들어가
놀러온 지인도 맛있다고 잘먹었네요"
중앙아구찜&탕,2022년 1월 10일,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",배달비 없어서 좋아요. 잘 먹었어요.
